date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:07	782/782	---M--	200	added ('OK')	image/png	etag:%2230e-55ae3b1005b91%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/images/moroccoflage.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/images/moroccoflage.png	(from http://localhost/mnazportfolio/)
11:20:08	20365/20365	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:07%20GMT	http://localhost/mnazportfolio/portfolio/branding-design-for-premium-store-facebook-page/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/branding-design-for-premium-store-facebook-page/index.html	(from http://localhost/mnazportfolio/)
11:20:09	16602/16602	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:07%20GMT	http://localhost/mnazportfolio/portfolio/logo-design-for-spanish-clothing-brand/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/portfolio/logo-design-for-spanish-clothing-brand/index.html	(from http://localhost/mnazportfolio/)
11:20:09	352/352	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202017%2010:20:08%20GMT	http://localhost/mnazportfolio/wp-content/themes/portfolio	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio	(from http://localhost/mnazportfolio/)
11:20:09	1351/1351	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202017%2010:20:09%20GMT	http://localhost/mnazportfolio/wp-content/themes/portfolio/	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/index.html	(from http://localhost/mnazportfolio/)
11:20:09	3184/3184	---M--	200	added ('OK')	image/png	etag:%22c70-55d8ed8e3258c%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/images/MrNAZ-Signature.png	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/images/MrNAZ-Signature.png	(from http://localhost/mnazportfolio/)
11:20:09	7132/7132	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202017%2010:20:09%20GMT	http://localhost/mnazportfolio/twitter.com	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/twitter.com	(from http://localhost/mnazportfolio/)
11:20:10	19470/19470	---M--	200	added ('OK')	image/webp	etag:%224c0e-55b483f245d77%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/images/MohcineNAZ-MrNAZ.webp	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/images/MohcineNAZ-MrNAZ.webp	(from http://localhost/mnazportfolio/)
11:20:12	1266/1266	---M--	200	added ('OK')	application/javascript	etag:%224f2-5554f04988d62%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/js/jquery.inview.min.js	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/js/jquery.inview.min.js	(from http://localhost/mnazportfolio/)
11:20:13	7154/7154	---M--	200	added ('OK')	application/javascript	etag:%221bf2-554c7d0f8c4b2%22	http://localhost/mnazportfolio/wp-content/themes/portfolio/js/wow.min.js	C:/My%20Web%20Sites/mnazportfolio/localhost/mnazportfolio/wp-content/themes/portfolio/js/wow.min.js	(from http://localhost/mnazportfolio/)
